Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
AI,0.05,0.05,0.01,0.04,0.06,0.07,0.01,0.01,0.03,0.01,0.1,0.02,0.1,0.01,0.03,0.01,0.07,0.01,0.01,0.45,0.09,0.1,0.17,0.01,0.83
AWS,0.09,0.03,0.08,0.17,0.05,0.07,0.04,0.03,0.08,0.02,0.25,0.07,0.08,0.04,0.23,0.28,0.26,0.08,0.07,0.02,0.01,0.15,0.55,0.12,0.05
Active Directory,0.05,0.04,0.14,0.03,0.05,0.01,0.01,0.02,0.05,0.03,0.45,0.02,0.05,0.01,0.4,0.06,0.55,0.02,0.07,0.06,0.01,0.03,0.21,0.02,0.01
Adobe XD,0.15,0.01,0.08,0.03,0.22,0.01,0.01,0.01,0.14,0.01,0.42,0.09,0.09,0.01,0.01,0.3,0.56,0.01,0.2,0.02,0.01,0.17,0.17,0.02,0.03
Agile Methodologies,0.02,0.45,0.11,0.03,0.7,0.09,0.06,0.05,0.84,0.03,0.1,0.98,0.17,0.52,0.05,0.91,0.53,0.05,0.38,0.05,0.94,0.09,0.16,0.03,0.08
Android Mobile App Development,0.05,0.05,0.01,0.01,0.41,0.0,0.08,0.02,0.09,0.01,0.34,0.01,0.24,0.03,0.02,0.78,0.86,0.01,0.65,0.05,0.01,0.03,0.12,0.02,0.01
Angular,0.11,0.04,0.09,0.02,0.23,0.02,0.04,0.01,0.1,0.01,0.26,0.04,0.05,0.02,0.02,0.37,0.45,0.03,0.19,0.03,0.01,0.13,0.33,0.03,0.02
Azure,0.21,0.02,0.23,0.15,0.18,0.02,0.04,0.03,0.24,0.03,0.45,0.1,0.04,0.05,0.22,0.41,0.55,0.11,0.2,0.12,0.01,0.22,0.66,0.17,0.04
Backup and Recovery,0.05,0.1,0.21,0.02,0.83,0.05,0.04,0.04,0.05,0.02,0.08,0.9,0.09,0.42,0.14,0.68,0.95,0.03,0.05,0.03,0.01,0.03,0.13,0.05,0.04
Big Data Technologies,0.08,0.17,0.06,0.05,0.09,0.04,0.22,0.02,0.03,0.01,0.11,0.03,0.17,0.02,0.02,0.05,0.07,0.76,0.08,0.02,0.0,0.04,0.13,0.02,0.02
Blockchain security,0.01,0.06,0.01,0.01,0.03,0.01,0.01,0.97,0.02,0.01,0.24,0.01,0.03,0.01,0.04,0.01,0.07,0.02,0.02,0.01,0.0,0.01,0.07,0.01,0.01
Budgeting,0.01,0.05,0.1,0.01,0.01,0.04,0.01,0.01,0.0,0.0,0.01,0.03,0.03,0.03,0.01,0.0,0.01,0.01,0.03,0.01,0.01,0.01,0.05,0.01,0.01
Build Automation,0.02,0.07,0.09,0.01,0.07,0.01,0.01,0.03,0.02,0.07,0.07,0.02,0.11,0.1,0.02,0.07,0.2,0.01,0.03,0.14,0.01,0.05,0.09,0.02,0.05
CSS,0.07,0.1,0.03,0.01,0.13,0.03,0.01,0.01,0.06,0.01,0.05,0.03,0.11,0.03,0.05,0.06,0.27,0.01,0.01,0.02,0.03,0.33,0.41,0.01,0.03
Cassandra,0.11,0.02,0.2,0.1,0.23,0.01,0.01,0.05,0.15,0.02,0.32,0.09,0.09,0.04,0.03,0.43,0.78,0.02,0.12,0.05,0.01,0.07,0.21,0.05,0.02
Cloud Architecture,0.02,0.08,0.03,0.01,0.05,0.01,0.01,0.02,0.04,0.01,0.09,0.01,0.11,0.01,0.05,0.04,0.13,0.03,0.05,0.07,0.01,0.03,0.13,0.03,0.02
Cloud Native Application Development,0.02,0.1,0.01,0.01,0.27,0.01,0.18,0.08,0.03,0.01,0.04,0.01,0.23,0.01,0.03,0.42,0.3,0.02,0.27,0.09,0.01,0.03,0.08,0.02,0.01
CoAP,0.12,0.08,0.43,0.04,0.34,0.64,0.04,0.26,0.37,0.15,0.74,0.73,0.1,0.06,0.12,0.45,0.7,0.21,0.44,0.4,0.39,0.17,0.61,0.14,0.1
Computer Vision,0.03,0.08,0.02,0.01,0.06,0.09,0.01,0.01,0.02,0.01,0.08,0.01,0.11,0.01,0.01,0.01,0.12,0.03,0.05,0.02,0.01,0.01,0.12,0.01,0.02
Continuous Integration/Continuous Deployment,0.03,0.1,0.01,0.01,0.27,0.01,0.03,0.04,0.4,0.04,0.03,0.17,0.11,0.59,0.02,0.89,0.98,0.02,0.1,0.02,0.15,0.03,0.06,0.02,0.06
Cross Browser Compatibility,0.08,0.14,0.04,0.02,0.07,0.04,0.07,0.07,0.08,0.02,0.19,0.04,0.06,0.02,0.67,0.17,0.47,0.03,0.33,0.04,0.02,0.04,0.41,0.04,0.03
Cryptocurrency development,0.01,0.06,0.01,0.01,0.21,0.01,0.01,1.0,0.01,0.0,0.01,0.0,0.04,0.01,0.0,0.01,0.01,0.0,0.04,0.02,0.0,0.0,0.07,0.01,0.01
Cryptography,0.01,0.05,0.03,0.0,0.06,0.03,0.0,0.33,0.01,0.0,0.06,0.0,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.0,0.01,0.06,0.01,0.02
Data Engineering,0.02,0.08,0.01,0.01,0.03,0.01,0.05,0.01,0.01,0.01,0.0,0.01,0.11,0.01,0.01,0.06,0.01,0.03,0.02,0.01,0.0,0.01,0.01,0.03,0.02
Data Manipulation,0.37,0.07,0.16,0.01,0.54,0.02,0.73,0.03,0.01,0.02,0.06,0.02,0.19,0.01,0.12,0.81,0.04,0.67,0.52,0.09,0.01,0.22,0.05,0.03,0.03
Data Manipulation and Cleaning,0.04,0.06,0.03,0.01,0.69,0.01,0.06,0.02,0.01,0.01,0.01,0.01,0.1,0.16,0.05,0.57,0.05,0.18,0.09,0.06,0.0,0.04,0.04,0.02,0.05
Data Mining,0.05,0.08,0.02,0.01,0.13,0.01,0.05,0.02,0.01,0.01,0.06,0.01,0.11,0.02,0.01,0.04,0.03,0.19,0.04,0.02,0.0,0.02,0.07,0.01,0.01
Data Modeling,0.1,0.07,0.04,0.01,0.1,0.02,0.24,0.03,0.01,0.01,0.01,0.01,0.27,0.01,0.02,0.06,0.04,0.15,0.23,0.04,0.09,0.02,0.08,0.02,0.01
Data Visualization,0.42,0.13,0.14,0.01,0.04,0.05,0.01,0.02,0.01,0.01,0.02,0.01,0.3,0.01,0.03,0.02,0.04,0.04,0.11,0.01,0.01,0.02,0.08,0.01,0.01
Data Warehousing,0.02,0.04,0.04,0.02,0.08,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.09,0.01,0.02,0.02,0.02,0.29,0.01,0.02,0.0,0.02,0.06,0.51,0.02
DevOps,0.03,0.21,0.02,0.02,0.72,0.01,0.14,0.06,0.73,0.12,0.02,0.15,0.18,0.07,0.02,0.98,0.89,0.05,0.54,0.07,0.6,0.09,0.11,0.17,0.08
Disaster Recovery Planning,0.01,0.04,0.02,0.01,0.11,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.07,0.03,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.01
Django,0.1,0.02,0.1,0.02,0.34,0.01,0.03,0.04,0.08,0.01,0.3,0.05,0.11,0.01,0.02,0.45,0.63,0.01,0.23,0.03,0.01,0.09,0.27,0.12,0.1
Docker,0.05,0.02,0.05,0.04,0.53,0.02,0.02,0.04,0.13,0.02,0.47,0.04,0.08,0.04,0.09,0.59,0.48,0.03,0.11,0.02,0.01,0.04,0.2,0.03,0.03
ETL,0.17,0.17,0.27,0.04,0.28,0.22,0.04,0.05,0.72,0.04,0.38,0.07,0.1,0.04,0.09,0.55,0.91,0.13,0.1,0.08,0.23,0.13,0.37,0.06,0.04
Embedded Systems,0.04,0.08,0.15,0.01,0.16,0.02,0.01,0.03,0.03,0.01,0.1,0.01,0.16,0.03,0.02,0.02,0.05,0.02,0.03,0.42,0.01,0.04,0.25,0.02,0.02
Ethical Hacking,0.01,0.05,0.01,0.01,0.06,0.01,0.0,0.02,0.02,0.0,0.08,0.0,0.02,0.01,0.01,0.04,0.01,0.01,0.0,0.01,0.0,0.01,0.05,0.01,0.01
Firewall Configuration,0.01,0.03,0.08,0.01,0.02,0.01,0.0,0.01,0.04,0.01,0.03,0.01,0.01,0.19,0.02,0.01,0.08,0.01,0.11,0.02,0.01,0.01,0.07,0.01,0.01
Flask,0.07,0.03,0.11,0.03,0.51,0.01,0.1,0.17,0.32,0.05,0.55,0.06,0.12,0.02,0.03,0.73,0.78,0.06,0.52,0.04,0.01,0.14,0.26,0.28,0.03
Flutter,0.06,0.07,0.15,0.41,0.23,0.14,0.02,0.1,0.53,0.01,0.37,0.05,0.03,0.05,0.03,0.44,0.55,0.06,0.18,0.03,0.01,0.04,0.21,0.1,0.08
GCP,0.22,0.06,0.43,0.09,0.47,0.12,0.06,0.11,0.53,0.29,0.66,0.35,0.06,0.14,0.74,0.48,0.71,0.14,0.37,0.05,0.04,0.23,0.47,0.16,0.05
Git,0.07,0.03,0.14,0.03,0.45,0.02,0.02,0.03,0.11,0.09,0.33,0.15,0.06,0.03,0.06,0.48,0.42,0.03,0.07,0.02,0.01,0.05,0.21,0.18,0.03
GraphQL,0.07,0.08,0.26,0.03,0.25,0.02,0.01,0.09,0.16,0.1,0.39,0.09,0.13,0.02,0.18,0.39,0.7,0.05,0.05,0.05,0.04,0.16,0.3,0.09,0.06
HTML,0.08,0.09,0.11,0.02,0.07,0.04,0.03,0.01,0.03,0.02,0.05,0.07,0.08,0.01,0.41,0.04,0.12,0.05,0.01,0.01,0.01,0.26,0.75,0.03,0.04
Hadoop,0.08,0.04,0.09,0.1,0.47,0.01,0.02,0.02,0.07,0.01,0.22,0.1,0.07,0.02,0.05,0.17,0.42,0.04,0.1,0.04,0.0,0.02,0.24,0.04,0.02
Hardware/Software Integration,0.03,0.05,0.02,0.02,0.23,0.01,0.01,0.03,0.02,0.01,0.08,0.01,0.11,0.01,0.06,0.09,0.1,0.01,0.03,0.94,0.01,0.04,0.53,0.01,0.02
IT Support,0.01,0.04,0.02,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.0,0.0,0.01,0.02,0.04,0.02,0.02
Incident Response,0.01,0.08,0.05,0.39,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.06,0.06,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.05,0.02,0.71
Integration Testing and System Testing,0.02,0.08,0.01,0.04,0.1,0.01,0.01,0.03,0.07,0.01,0.01,0.01,0.04,0.07,0.01,0.48,0.3,0.01,0.15,0.04,0.02,0.02,0.04,0.02,0.14
Intrusion Detection,0.02,0.1,0.04,0.03,0.06,0.04,0.01,0.03,0.02,0.01,0.32,0.01,0.11,0.02,0.02,0.05,0.09,0.01,0.06,0.05,0.01,0.01,0.09,0.01,0.03
IoT,0.17,0.17,0.09,0.13,0.13,0.14,0.03,0.05,0.07,0.02,0.22,0.02,0.21,0.01,0.11,0.05,0.09,0.09,0.05,0.19,0.02,0.11,0.32,0.07,0.04
JUnit,0.09,0.05,0.14,0.02,0.3,0.06,0.02,0.03,0.31,0.03,0.34,0.07,0.06,0.07,0.03,0.34,0.34,0.03,0.2,0.03,0.02,0.09,0.22,0.03,0.04
Java,0.13,0.45,0.12,0.13,0.41,0.06,0.04,0.02,0.05,0.02,0.45,0.04,0.05,0.01,0.05,0.43,0.74,0.05,0.11,0.08,0.14,0.19,0.19,0.07,0.6
JavaScript,0.28,0.2,0.15,0.18,0.63,0.09,0.05,0.96,0.19,0.06,0.57,0.26,0.2,0.15,0.45,0.57,0.57,0.14,0.09,0.07,0.05,0.59,0.86,0.21,0.18
Kanban,0.06,0.04,0.28,0.02,0.17,0.06,0.01,0.04,0.12,0.01,0.32,0.05,0.04,0.97,0.03,0.08,0.23,0.06,0.07,0.03,0.01,0.16,0.18,0.03,0.03
Kotlin,0.12,0.04,0.06,0.02,0.45,0.01,0.02,0.02,0.14,0.01,0.21,0.08,0.02,0.01,0.02,0.34,0.34,0.02,0.09,0.02,0.01,0.13,0.12,0.03,0.02
Kubernetes,0.04,0.02,0.04,0.06,0.18,0.01,0.01,0.04,0.17,0.01,0.32,0.02,0.06,0.02,0.03,0.21,0.47,0.03,0.11,0.03,0.01,0.03,0.15,0.03,0.01
MQTT,0.13,0.1,0.62,0.06,0.3,0.08,0.02,0.08,0.41,0.11,0.61,0.1,0.08,0.03,0.47,0.41,0.71,0.11,0.04,0.11,0.02,0.15,0.43,0.06,0.03
Machine Learning,0.03,0.05,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.05,0.0,0.01,0.01,0.02,0.02,0.01,0.04,0.0,0.03,0.14,0.01,0.16
Malware Analysis,0.01,0.04,0.04,0.01,0.02,0.07,0.0,0.01,0.0,0.0,0.03,0.0,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.23,0.01,0.01
Manual Testing,0.02,0.05,0.02,0.02,0.12,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.04,0.02,0.01,0.66,0.03,0.01,0.06,0.01,0.01,0.03,0.04,0.01,0.02
Matplotlib,0.16,0.1,0.27,0.03,0.26,0.07,0.03,0.06,0.07,0.03,0.37,0.12,0.1,0.03,0.05,0.12,0.42,0.04,0.28,0.06,0.01,0.1,0.35,0.06,0.06
Memory Management and Performance Profiling,0.02,0.05,0.03,0.02,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.09,0.02,0.11,0.42,0.02,0.09,0.13,0.01,0.01,0.06,0.01,0.01
Microsoft SQL Server,0.11,0.01,0.65,0.02,0.19,0.0,0.01,0.01,0.03,0.01,0.31,0.09,0.04,0.02,0.02,0.08,0.73,0.01,0.16,0.02,0.01,0.05,0.25,0.02,0.01
MongoDB,0.12,0.02,0.27,0.1,0.53,0.01,1.0,0.03,0.09,0.02,0.38,0.24,0.06,0.03,0.03,0.5,0.68,0.02,0.14,0.04,0.01,0.07,0.23,0.1,0.02
MySQL,0.13,0.01,0.43,0.1,0.36,0.01,0.03,0.01,0.05,0.01,0.37,0.12,0.12,0.02,0.09,0.43,0.74,0.01,0.21,0.03,0.01,0.09,0.17,0.03,0.02
Natural Language Processing,0.01,0.08,0.02,0.01,0.04,0.34,0.01,0.02,0.0,0.01,0.01,0.02,0.69,0.01,0.03,0.0,0.02,0.01,0.8,0.01,0.0,0.01,0.08,0.01,0.01
Network Monitoring,0.01,0.09,0.08,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.06,0.01,0.12,0.07,0.26,0.07,0.09,0.05,0.1,0.04,0.01,0.02,0.15,0.02,0.02
Network Security,0.02,0.09,0.03,0.02,0.02,0.01,0.01,0.04,0.01,0.01,0.38,0.01,0.06,0.02,0.35,0.01,0.06,0.01,0.02,0.02,0.0,0.02,0.12,0.01,0.02
NoSQL,0.03,0.03,0.26,0.01,0.83,0.01,0.78,0.01,0.03,0.13,0.08,0.42,0.07,0.01,0.25,0.28,0.39,0.2,0.06,0.02,0.01,0.13,0.24,0.32,0.13
Node.js,0.31,0.1,0.2,0.11,0.72,0.02,0.58,0.99,0.19,0.04,0.62,0.17,0.19,0.02,0.22,0.89,0.66,0.11,0.57,0.05,0.03,0.3,0.23,0.26,0.08
Oracle,0.11,0.01,0.26,0.03,0.12,0.01,0.01,0.01,0.1,0.01,0.3,0.11,0.04,0.03,0.01,0.2,0.59,0.02,0.17,0.02,0.01,0.11,0.27,0.07,0.02
