Skills,HTML,Wireframing and Prototyping,MongoDB,Build Automation,Kubernetes,Hardware/Software Integration,Data Visualization,DevOps,User Research,Microsoft SQL Server,System Architecture Design,Azure,Virtualization VMware,Risk Management,Data Mining,Usability Testing,Security Best Practices,Cloud Architecture,Selenium,CoAP,Firewall Configuration,Cloud Native Application Development,IoT,Routing and Switching,PyTorch,Incident Response,SVN,Docker,UX Design,Git,Scalability and Performance Optimization,TCP/IP,Technical Documentation,scikit-learn,Vue.js,TensorFlow,Cassandra,ETL,Responsive Design,SQL,Performance Testing,Data Warehousing,GCP,Hadoop,Project Planning,UX/UI Design and Prototyping,MySQL,RDBMS,Computer Vision,Data Manipulation and Cleaning,Data Manipulation,UI Design,Data Modeling,Oracle,Virtualization Hyper-V,Security Auditing,Adobe XD,Cross Browser Compatibility,User Centric Design,Scrum,IT Support,Cryptocurrency development,Active Directory,Web Accessibility,System Administration,JUnit,Budgeting,Disaster Recovery Planning,Manual Testing,RESTful Architecture,Troubleshooting,React,Server Administration,Network Security,Malware Analysis,Django,Natural Language Processing,Continuous Integration/Continuous Deployment,Test-Driven Development (TDD),GraphQL,Web Development,Wireless Networking,PostgreSQL,Big Data Technologies,Android Mobile App Development,Flask,REST,Smart contracts,Integration Testing and System Testing,iOS Mobile App Development,JavaScript,AI,Machine Learning,Network Monitoring,Matplotlib,Embedded Systems,Spark,Penetration Testing,Software Design Patterns,Node.js,Sensor Integration,Kanban,VoIP (Voice over Internet Protocol),Agile Methodologies,CSS,Blockchain security,Cryptography,Flutter,Sketch,Backup and Recovery,Quality Assurance,Ethical Hacking,NoSQL,React Native,Pandas,Real-Time Systems,AWS,Angular,Responsive Web Design,Data Engineering,VPN,pytest,Memory Management and Performance Profiling,Intrusion Detection,MQTT
HTML,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTML View,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content - Page,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRM,,0.88,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
framework,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,
protobuf,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database,,,0.98,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client dependency framework,,,0.96,,0.92,,,,,,,,,,,,,,0.94,,,,,,0.9,,,,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,0.97
storage,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.98,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,
Build,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automation,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.86,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,
Build system,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webserv,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network,,,,,0.96,,,,,,,,,,,,,,,,,,,0.96,,,0.97,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,0.99,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,0.97
Integrations,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,
Installation / Upgrade,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IM,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,,,,,,,0.93,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,0.9,,,,,,0.89,0.89,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,
VCS task,,,,,,,0.88,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataweave,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ops,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core - DevOps,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
