Skills,HTML,Wireframing and Prototyping,MongoDB,Build Automation,Kubernetes,Hardware/Software Integration,Data Visualization,DevOps,User Research,Microsoft SQL Server,System Architecture Design,Azure,Virtualization VMware,Risk Management,Data Mining,Usability Testing,Security Best Practices,Cloud Architecture,Selenium,CoAP,Firewall Configuration,Cloud Native Application Development,IoT,Routing and Switching,PyTorch,Incident Response,SVN,Docker,UX Design,Git,Scalability and Performance Optimization,TCP/IP,Technical Documentation,scikit-learn,Vue.js,TensorFlow,Cassandra,ETL,Responsive Design,SQL,Performance Testing,Data Warehousing,GCP,Hadoop,Project Planning,UX/UI Design and Prototyping,MySQL,RDBMS,Computer Vision,Data Manipulation and Cleaning,Data Manipulation,UI Design,Data Modeling,Oracle,Virtualization Hyper-V,Security Auditing,Adobe XD,Cross Browser Compatibility,User Centric Design,Scrum,IT Support,Cryptocurrency development,Active Directory,Web Accessibility,System Administration,JUnit,Budgeting,Disaster Recovery Planning,Manual Testing,RESTful Architecture,Troubleshooting,React,Server Administration,Network Security,Malware Analysis,Django,Natural Language Processing,Continuous Integration/Continuous Deployment,Test-Driven Development (TDD),GraphQL,Web Development,Wireless Networking,PostgreSQL,Big Data Technologies,Android Mobile App Development,Flask,REST,Smart contracts,Integration Testing and System Testing,iOS Mobile App Development,JavaScript,AI,Machine Learning,Network Monitoring,Matplotlib,Embedded Systems,Spark,Penetration Testing,Software Design Patterns,Node.js,Sensor Integration,Kanban,VoIP (Voice over Internet Protocol),Agile Methodologies,CSS,Blockchain security,Cryptography,Flutter,Sketch,Backup and Recovery,Quality Assurance,Ethical Hacking,NoSQL,React Native,Pandas,Real-Time Systems,AWS,Angular,Responsive Web Design,Data Engineering,VPN,pytest,Memory Management and Performance Profiling,Intrusion Detection,MQTT
.NET,0.0,0.16,0.0,0.22,0.01,0.13,0.17,0.01,0.1,0.0,0.09,0.15,0.0,0.1,0.05,0.25,0.08,0.0,0.0,0.01,0.05,0.0,0.0,0.35,0.0,0.23,0.0,0.0,0.01,0.0,0.33,0.0,0.24,0.0,0.0,0.0,0.04,0.01,0.3,0.0,0.29,0.02,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.12,0.06,0.01,0.11,0.0,0.0,0.07,0.0,0.02,0.12,0.0,0.21,0.0,0.0,0.12,0.26,0.0,0.03,0.06,0.15,0.02,0.28,0.0,0.17,0.19,0.04,0.0,0.01,0.33,0.22,0.0,0.03,0.0,0.0,0.0,0.0,0.05,0.01,0.13,0.14,0.0,0.0,0.0,0.06,0.12,0.0,0.05,0.01,0.16,0.13,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.01,0.07,0.01,0.36,0.16,0.06,0.0,0.0,0.0,0.03,0.0,0.02,0.04,0.01,0.0,0.15,0.15,0.16,0.01
360,0.14,0.16,0.18,0.28,0.3,0.33,0.28,0.12,0.24,0.34,0.12,0.32,0.35,0.16,0.25,0.23,0.17,0.16,0.23,0.46,0.26,0.28,0.19,0.41,0.2,0.21,0.19,0.23,0.15,0.21,0.24,0.23,0.14,0.14,0.15,0.34,0.39,0.15,0.36,0.09,0.21,0.19,0.28,0.12,0.13,0.18,0.05,0.11,0.24,0.14,0.1,0.2,0.19,0.25,0.06,0.21,0.15,0.34,0.31,0.11,0.23,0.23,0.26,0.31,0.12,0.38,0.14,0.19,0.14,0.12,0.19,0.59,0.25,0.28,0.14,0.1,0.28,0.29,0.21,0.28,0.18,0.24,0.13,0.35,0.42,0.29,0.07,0.3,0.2,0.25,0.19,0.12,0.3,0.22,0.16,0.16,0.36,0.13,0.11,0.22,0.3,0.41,0.38,0.07,0.25,0.34,0.13,0.5,0.09,0.33,0.24,0.13,0.09,0.48,0.26,0.14,0.13,0.71,0.34,0.17,0.37,0.24,0.2,0.14,0.1
ADG3,0.13,0.44,0.01,0.46,0.01,0.53,0.53,0.12,0.35,0.21,0.37,0.34,0.07,0.34,0.44,0.43,0.58,0.32,0.02,0.07,0.45,0.52,0.01,0.54,0.02,0.43,0.0,0.1,0.13,0.03,0.41,0.1,0.49,0.08,0.01,0.15,0.08,0.0,0.44,0.01,0.45,0.44,0.0,0.03,0.38,0.4,0.0,0.0,0.55,0.38,0.35,0.22,0.48,0.1,0.01,0.49,0.13,0.48,0.35,0.1,0.37,0.46,0.42,0.53,0.4,0.01,0.32,0.43,0.42,0.37,0.48,0.41,0.48,0.56,0.41,0.02,0.46,0.5,0.19,0.17,0.47,0.55,0.01,0.49,0.63,0.3,0.01,0.65,0.4,0.63,0.36,0.01,0.61,0.54,0.02,0.48,0.25,0.34,0.36,0.16,0.6,0.1,0.42,0.25,0.01,0.42,0.49,0.56,0.45,0.65,0.48,0.18,0.08,0.17,0.47,0.35,0.0,0.55,0.5,0.5,0.06,0.37,0.39,0.38,0.0
ADGS Design changes,0.14,0.24,0.0,0.36,0.01,0.2,0.15,0.11,0.03,0.09,0.18,0.33,0.04,0.07,0.04,0.11,0.08,0.05,0.05,0.12,0.17,0.23,0.01,0.69,0.01,0.09,0.02,0.07,0.0,0.13,0.33,0.01,0.3,0.05,0.05,0.08,0.13,0.04,0.5,0.03,0.09,0.01,0.04,0.03,0.18,0.01,0.01,0.0,0.12,0.18,0.09,0.0,0.03,0.14,0.04,0.01,0.3,0.19,0.28,0.01,0.03,0.06,0.16,0.2,0.1,0.03,0.02,0.05,0.13,0.03,0.26,0.64,0.09,0.22,0.02,0.03,0.0,0.21,0.02,0.09,0.15,0.09,0.03,0.02,0.22,0.13,0.01,0.28,0.16,0.16,0.3,0.04,0.24,0.03,0.03,0.2,0.18,0.08,0.23,0.16,0.03,0.07,0.01,0.22,0.02,0.1,0.1,0.59,0.23,0.57,0.03,0.07,0.06,0.14,0.05,0.32,0.02,0.35,0.5,0.03,0.15,0.31,0.01,0.02,0.02
API,0.0,0.1,0.0,0.08,0.02,0.01,0.02,0.01,0.03,0.0,0.0,0.07,0.0,0.06,0.01,0.16,0.13,0.0,0.0,0.07,0.0,0.02,0.0,0.22,0.02,0.17,0.0,0.0,0.0,0.03,0.2,0.0,0.05,0.04,0.0,0.0,0.02,0.01,0.06,0.0,0.17,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.03,0.03,0.0,0.0,0.09,0.07,0.0,0.33,0.01,0.0,0.01,0.01,0.01,0.0,0.03,0.13,0.01,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.01,0.02,0.0,0.32,0.03,0.0,0.0,0.0,0.03,0.06,0.07,0.0,0.01,0.01,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.0,0.53,0.08,0.03,0.0,0.08,0.0,0.01,0.0,0.1,0.0,0.0,0.0,0.04,0.0,0.04,0.01
APIDoc,0.13,0.31,0.0,0.46,0.0,0.6,0.61,0.04,0.33,0.0,0.27,0.4,0.0,0.25,0.46,0.4,0.44,0.19,0.0,0.22,0.27,0.69,0.08,0.56,0.0,0.83,0.0,0.01,0.04,0.03,0.43,0.02,0.46,0.01,0.01,0.0,0.01,0.01,0.59,0.0,0.5,0.49,0.0,0.01,0.39,0.25,0.0,0.0,0.45,0.41,0.36,0.03,0.44,0.24,0.0,0.33,0.86,0.51,0.5,0.0,0.51,0.53,0.93,0.59,0.5,0.01,0.05,0.18,0.24,0.06,0.46,0.13,0.65,0.57,0.37,0.01,0.43,0.62,0.04,0.01,0.48,0.59,0.0,0.53,0.84,0.13,0.0,0.64,0.37,0.61,0.29,0.13,0.6,0.58,0.0,0.49,0.16,0.21,0.31,0.38,0.66,0.02,0.36,0.35,0.0,0.33,0.33,0.29,0.15,0.61,0.4,0.13,0.03,0.07,0.01,0.42,0.0,0.5,0.62,0.49,0.03,0.09,0.04,0.19,0.0
APT,0.19,0.45,0.0,0.52,0.01,0.74,0.49,0.0,0.43,0.0,0.37,0.79,0.0,0.28,0.33,0.26,0.01,0.05,0.0,0.25,0.04,0.39,0.01,0.59,0.01,0.94,0.0,0.01,0.07,0.02,0.31,0.01,0.42,0.01,0.01,0.01,0.01,0.0,0.61,0.0,0.84,0.19,0.0,0.01,0.81,0.15,0.0,0.0,0.36,0.51,0.44,0.04,0.36,0.2,0.0,0.01,0.05,0.51,0.41,0.01,0.31,0.38,0.62,0.67,0.41,0.06,0.06,0.3,0.38,0.07,0.38,0.24,0.61,0.01,0.09,0.0,0.34,0.22,0.01,0.02,0.35,0.62,0.0,0.38,0.63,0.25,0.0,0.59,0.12,0.45,0.4,0.19,0.49,0.17,0.0,0.33,0.52,0.76,0.26,0.2,0.67,0.05,0.01,0.35,0.0,0.0,0.3,0.44,0.29,0.81,0.46,0.03,0.01,0.14,0.32,0.35,0.01,0.77,0.64,0.39,0.07,0.46,0.13,0.25,0.0
AUI,0.03,0.43,0.0,0.56,0.0,0.58,0.33,0.0,0.48,0.0,0.25,0.74,0.0,0.28,0.31,0.36,0.34,0.02,0.0,0.01,0.07,0.24,0.01,0.59,0.0,0.48,0.0,0.0,0.01,0.01,0.4,0.0,0.38,0.01,0.0,0.0,0.01,0.0,0.49,0.0,0.41,0.14,0.0,0.0,0.28,0.04,0.0,0.0,0.05,0.36,0.25,0.11,0.26,0.01,0.0,0.16,0.03,0.15,0.69,0.0,0.4,0.07,0.03,0.74,0.6,0.0,0.01,0.08,0.2,0.24,0.47,0.32,0.67,0.45,0.24,0.0,0.31,0.45,0.11,0.0,0.24,0.54,0.0,0.38,0.56,0.07,0.0,0.43,0.31,0.21,0.15,0.75,0.38,0.49,0.0,0.45,0.08,0.08,0.24,0.03,0.37,0.01,0.07,0.45,0.0,0.13,0.06,0.42,0.1,0.65,0.45,0.05,0.0,0.07,0.0,0.34,0.0,0.64,0.5,0.16,0.01,0.26,0.04,0.4,0.0
AUM,0.11,0.41,0.0,0.65,0.0,0.54,0.49,0.02,0.62,0.21,0.49,0.86,0.14,0.16,0.4,0.42,0.38,0.1,0.0,0.02,0.22,0.68,0.0,0.61,0.01,0.41,0.0,0.01,0.03,0.02,0.44,0.0,0.38,0.03,0.02,0.06,0.02,0.01,0.61,0.0,0.44,0.06,0.0,0.01,0.32,0.2,0.0,0.0,0.39,0.46,0.34,0.09,0.52,0.07,0.01,0.18,0.06,0.34,0.92,0.01,0.06,0.09,0.02,0.51,0.48,0.03,0.02,0.26,0.35,0.46,0.41,0.5,0.53,0.41,0.22,0.0,0.53,0.54,0.28,0.11,0.23,0.22,0.0,0.46,0.55,0.12,0.0,0.49,0.3,0.42,0.39,0.03,0.65,0.51,0.0,0.32,0.08,0.25,0.28,0.2,0.48,0.02,0.02,0.74,0.0,0.22,0.05,0.34,0.03,0.64,0.31,0.05,0.01,0.19,0.02,0.36,0.03,0.85,0.55,0.45,0.04,0.54,0.28,0.27,0.0
AWS,0.04,0.17,0.0,0.17,0.0,0.17,0.17,0.02,0.06,0.0,0.07,0.99,0.0,0.09,0.11,0.12,0.07,0.18,0.0,0.0,0.15,0.13,0.0,0.25,0.0,0.14,0.0,0.0,0.01,0.0,0.22,0.01,0.08,0.0,0.0,0.0,0.0,0.01,0.23,0.0,0.22,0.13,0.0,0.0,0.06,0.07,0.0,0.0,0.05,0.1,0.06,0.0,0.11,0.0,0.0,0.05,0.0,0.07,0.15,0.01,0.1,0.0,0.0,0.15,0.14,0.0,0.02,0.08,0.1,0.05,0.2,0.01,0.2,0.09,0.09,0.0,0.04,0.26,0.13,0.01,0.11,0.15,0.0,0.12,0.0,0.16,0.0,0.19,0.1,0.0,0.04,0.01,0.23,0.11,0.0,0.08,0.0,0.1,0.04,0.01,0.09,0.0,0.08,0.04,0.0,0.04,0.03,0.02,0.01,0.33,0.11,0.05,0.01,0.01,0.0,0.08,1.0,0.04,0.17,0.08,0.0,0.12,0.09,0.11,0.0
