Skills,"an authentication issue, the dreaded 420 response from the Twitter API, etc. If I could somehow be notified about the issue, then I could provide that information to my user so she could fix the issue or at least understand what is going on.  I've seen that the REST API will support an endpoint to check the current status of a stream, but it is not yet available and it would require my application to be polling constantly the stream, with all the disadvantages compared to a pushing mechanism."
.NET,0.4
ADGS Design changes,0.25
API,0.8
APT,0.34
AUI,0.55
AWS,0.07
Acceptance Testing,0.08
Accessibility,0.38
Accessibility - Mobile,0.15
Active Objects,0.24
Admin,0.68
Admin - Device Preview Management,0.39
Admin - Event Viewer,0.28
Admin - Extensions,0.41
Admin - File Manager,0.47
Admin - Google Analytics,0.13
Admin - Languages,0.39
Admin - Newsletters,0.23
Admin - Pages,0.11
Admin - Recycle Bin,0.02
Admin - Search Engine SiteMap,0.27
Admin - Security Roles,0.46
Admin - Site Redirection Management,0.24
Admin - Site Settings,0.26
Admin - User Accounts,0.34
Admin - Vendors,0.22
Admin / Host Functions,0.23
Administration,0.68
Administration (General),0.2
Administration (Projects),0.12
Administration - Fields,0.23
Administration - Issue Types,0.42
Administration - Permission Helper,0.25
Administration - Screens,0.21
Aggregation Framework,0.25
Aggregation pipeline,0.32
AgileBoard,0.41
Algorithm Testing,0.06
Analytics,0.34
Android,0.28
Ant Tasks,0.1
Anvil,0.37
Apache MXNet Backend,0.07
Apache MXNet C/C++ API,0.03
Apache MXNet Java API,0.03
Apache MXNet Julia API,0.05
Apache MXNet Scala API,0.07
App Designer,0.36
App Diagnositcs,0.29
App Explorer,0.39
Appc CLI,0.18
Application Links,0.36
Arrow,0.36
Artifacts,0.38
Assignment,0.37
Async,0.37
Asynchronous REST Client,0.16
Atlas,0.2
Audit,0.25
Audit Log,0.2
Audit Logging,0.15
Authentication,0.88
Authentication / Security,0.8
Auto Updates,0.05
Automation,0.47
Automation for Jira,0.05
BSON,0.21
Backend / Domain Model ,0.27
Background Operations,0.24
Backlog,0.24
Backup,0.37
Backup / Restore,0.23
Backup and Restore,0.16
Backup: IMS-CC,0.27
Badges,0.21
Batch,0.44
Bitbucket Server integration,0.07
Bitbucket integration,0.06
Blog,0.21
Board configuration,0.69
Bootstrap,0.12
Bower,0.23
Branch Status,0.13
Browse Remote,0.22
Browse Storage,0.17
Build,0.31
Build Queues,0.07
Build Tooling,0.12
Build system,0.46
Build: Distributions,0.25
Build: Integration Tests,0.13
Build: JDK Compatibility,0.04
Build: Libraries / Dependencies,0.16
Build: Maven,0.15
Builders,0.26
Builds,0.23
Builtins,0.3
Bulk Operations,0.26
Burrow EVM,0.14
C# Conversion,0.07
C++ SDK,0.05
CDF,0.41
CI,0.49
CI Build ,0.06
CLI,0.26
CRUD,0.36
CSS,0.07
CSV export,0.05
Caching,0.22
Calibration Products Production,0.23
Cassandra Administration,0.05
Catalog,0.33
Centralized license visibility,0.4
Change Streams,0.6
Classic - Reports,0.09
Cleanup,0.21
Client,0.68
Client Resources,0.48
Client Side Encryption,0.05
Cluster Management,0.24
Code Insights,0.31
Codecs,0.14
CoffeeScript,0.03
Collection,0.55
Command Operations,0.19
Concurrency,0.71
Conda,0.36
Configuration,0.52
Confluence Frontend Next Release Blocker - Prod,0.08
Confluence Frontend Next Release Blocker - Staging,0.1
Confluence Frontend Release Blocker,0.06
Confluence Frontend Release Blocker - Dev,0.16
Confluence integration,0.1
Connection Management,0.45
Connectivity,0.45
Connector: DB,0.24
Connector: ObjectStore,0.35
Connector: Sockets,0.23
Connector: VM,0.31
Connectors,0.42
Console,0.48
Content Review,0.27
Content Selectors,0.13
Continuous Integration,0.21
Control Panel,0.11
Control Panel - Ribbon Bar,0.12
Core - APIs,0.26
Core - Content REST APIs,0.1
Core - DevOps,0.19
Core - Frontend Platform,0.18
Core - Web Resources,0.14
Core API,0.21
Core Modules,0.19
Core: API,0.21
Core: Agents,0.1
Core: Bootstrap / Standalone,0.09
Core: Classloading,0.08
Core: Components,0.17
Core: Concurrency / Threading,0.25
Core: Configuration,0.2
Core: Containers,0.11
Core: DSL processing,0.21
Core: Deployment,0.15
Core: Domains shared resources,0.11
Core: Endpoints,0.05
Core: Event/Message,0.15
Core: Exception Handling,0.31
Core: Expressions,0.17
Core: Flow,0.2
Core: Lifecycle,0.24
Core: Logging,0.27
Core: Non-Blocking,0.14
Core: ObjectStore,0.18
Core: Policies,0.14
Core: Properties,0.22
Core: Queues (SEDA) / Persistence,0.06
Core: Registry,0.13
Core: Request-Reply,0.13
Core: Routing / Filters,0.14
Core: Services,0.25
Core: Sessions,0.18
Core: Streaming,0.32
Core: Transactions,0.15
Core: Transformers,0.11
Core: Transports,0.14
Core: Watermark,0.08
Course,0.37
Credentials,0.53
Cron,0.17
Custom Field Optimizer,0.12
Custom Metadata,0.32
DDL,0.28
DSL,0.49
Dashboard,0.5
Dashboard & Gadgets,0.22
Dashboard Integration,0.18
Dashboards & Gadgets,0.17
Dashboards & Reports - Reports,0.16
Data,0.64
Data Access,0.49
Data Access (DAL),0.09
Data Archive,0.24
Data Center,0.4
Data Center - Apps,0.55
Data Center - Archiving,0.53
Data Center - Azure,0.18
Data Center - Core,0.44
Data Center - Database,0.17
Data Center - Deployments,0.37
Data Center - Index,0.27
Data Center - Installer,0.24
Data Center - Load balancer,0.13
Data Center - Node replication,0.11
Data Center - Other,0.41
Data Release Production,0.22
Data Service,0.53
Database,0.1
Database (MS SQL),0.02
Database (MySQL),0.03
Database (Oracle),0.02
Database (Postgresql),0.02
Database SQL/XMLDB,0.04
Debugger,0.38
Debugging,0.41
Demo Application,0.47
Dependencies,0.52
Deployment,0.34
Deployment Awareness,0.06
Deployments,0.23
Design,0.65
Design Documents,0.17
Desktop,0.3
DevLoop,0.31
Developer Infrastructure,0.7
Development Panel,0.32
Diagnostics,0.31
Directories,0.13
Directory - Azure Active Directory,0.05
Directory - Internal/Delegated,0.24
Directory - LDAP,0.04
Directory - Remote Crowd,0.11
Distributions,0.29
Docker,0.06
Docker Runner,0.08
Docker-Nexus,0.11
Docs,0.17
Document Validation,0.13
Documentation,0.57
Documentation (Developer),0.5
Documentation - All,0.07
Documentation / Website,0.19
Documents,0.27
Drillbit,0.21
Dump/Restore,0.13
Dynamic Content Creator,0.58
Ecosystem,0.56
Ecosystem - Webhooks,0.1
Editor,0.42
Editor - Fabric,0.1
Education,0.24
Elastic Bamboo,0.22
Electron,0.19
Email system,0.37
Embedded,0.4
Encoding,0.45
End User Functions,0.26
Enterprise,0.51
Environment - Database,0.14
Environment - Java,0.48
Error Handling,0.66
Events & Notifications,0.56
Examples / Tutorials,0.17
Exception Management,0.88
Export,0.24
Export to Language,0.15
Extensions,0.42
Extensions API,0.44
Extensions: Maven Plugin,0.06
Fast Kanban,0.06
Feature Request,0.46
Field Level Encryption,0.05
File,0.36
File Manager,0.34
Files API,0.31
Filters & Dashboards - Permissions,0.13
Firefly,0.2
Firewall,0.09
First-Run,0.13
FishEye & Crucible integration,0.08
Folding,0.15
Force Stop Build,0.05
Formatter,0.44
Formatting,0.25
Forms Library,0.12
Friendly / Standard URLs,0.03
Front-end API,0.24
Gadget,0.24
Gadgets,0.2
Github,0.13
Global Administration,0.33
Gluon,0.37
Go SDK,0.03
Google App Engine,0.03
Grading methods,0.13
Gradle Plugin,0.06
Graphics & Icons,0.21
GreenHopper integration,0.18
Groovy,0.25
H5P,0.48
HAML,0.22
HTML,0.03
HTML Editor,0.08
HTML Editor (Atto),0.06
HTML Module - Core,0.22
HTML View,0.08
HTML and CSS,0.01
HTTP API,0.08
HTTP Console,0.11
HUD,0.53
Hadoop,0.6
Header,0.5
Heroku task,0.09
HipChat integration,0.05
Horde,0.24
Horovod,0.44
Host - Host Settings,0.19
Host - Schedule,0.23
Host - Site Management,0.26
Hub,0.42
Hyperledger,0.13
Hyperloop,0.16
IDL,0.37
IM,0.22
IQ Integration,0.4
Implementation,0.06
Import & Export,0.44
Import / Export,0.45
Import/Export,0.39
Indexes,0.09
Indexing,0.12
Infrastructure,0.78
Infrastructure & Services,0.74
Infrastructure & Services - Application Lifecycle,0.82
Ingest,0.6
Installation / Upgrade,0.09
Installation/Setup,0.07
Instrumentation,0.7
Integration - Apache/Subversion,0.16
Integration - Bamboo ,0.16
Integration - Confluence ,0.11
Integration - Fisheye/Crucible ,0.14
Integration - Google Apps,0.13
Integration - JIRA,0.15
Integration - Jive,0.19
Integration Tests,0.1
Integration/Connectors,0.43
Integrations,0.46
Integrations - JIRA,0.09
Interception API,0.14
Internal,0.1
Internal Client,0.27
Internal Code,0.11
Issue - Actions,0.47
Issue - Comments,0.12
Issue - Create,0.48
Issue - Create Issue,0.55
Issue - Fields,0.22
Issue - Others,0.69
Issue - Remote Copy,0.21
Issue - Sub-Tasks,0.22
Issue - Time Tracking & Worklog,0.42
Issue - View,0.57
Issue - View Issue,0.58
Issue Search - Backend,0.35
JIRA,0.09
JIRA integration,0.05
JQL,0.07
JS,0.04
JS Libraries,0.03
JSON,0.09
JSON Mode,0.09
JSON Schema,0.06
JWT,0.12
Java SDK,0.04
JavaScript,0.07
Javascript SDK,0.04
Jenkins Plugin,0.06
Jira Core Board,0.13
Jira Importers Plugin,0.05
Jira platform,0.08
Jobs,0.17
Journal,0.16
Jupyter Widget,0.09
JupyterLab,0.34
Kanplan,0.4
Keras,0.36
Kotlin,0.04
L1 Database,0.08
LDAP,0.04
Labels,0.2
Language,0.51
Launcher,0.31
Lexorank,0.22
Libraries,0.26
Licensing,0.17
Linux,0.44
Localization - Content,0.11
Localization - Language Packs,0.04
Localization - Static,0.08
Localization / ML,0.16
Logging,0.6
Login,0.23
Login/Registration,0.2
Logs,0.55
MMAPv1,0.31
MVC,0.3
Mac,0.55
Mac App,0.42
Mail Server,0.07
Management,0.79
Management Console,0.29
MapReduce,0.13
Markdown,0.08
Maven,0.08
Maven Archetype Catalog,0.1
Maven Module Plugin,0.07
Maven plugin,0.05
Member Directory,0.18
Messaging,0.34
Meta,0.49
Metrics,0.48
Middleware,0.47
Migration,0.37
Migration - Cloud to Server,0.06
Migration - Data Center,0.25
Migration - Server to Cloud,0.03
Migration - Server to Server,0.04
Misc integration,0.39
Mobile,0.31
MobileWeb,0.27
Models,0.44
Module: APIKit,0.26
Module: Aggregators,0.21
Module: Scripting,0.32
Module: Secure Properties,0.31
Modules - Third party,0.63
Modules: BPM / Rules,0.24
Modules: CXF,0.23
Modules: Database,0.17
Modules: Devkit Support,0.24
Modules: Expressions,0.26
Modules: FTP,0.25
Modules: File,0.26
Modules: HTTP,0.22
Modules: JBPM,0.22
Modules: JCA Resource Adapter,0.23
Modules: Jersey,0.22
Modules: Management / JMX,0.27
Modules: MuleClient,0.45
Modules: OAuth,0.37
Modules: RSS / ATOM,0.27
"Modules: Security (Spring Security, Acegi, PGP, WS-Security)",0.19
Modules: Sockets,0.26
Modules: Spring,0.42
Modules: WS Consumer,0.3
Modules: XA Transactions,0.15
"Modules: XML, XSLT, XPath, SXC",0.13
Modules: iBeans,0.27
Monitoring,0.75
Mule CI,0.07
Mule Core,0.12
NPM,0.11
Native - Android,0.14
Native - iOS,0.11
Native - macOS,0.27
Navigation - Primary & Contextual,0.4
Nebula OpenStack,0.2
Networking,0.4
Node,0.13
Node Utilities,0.04
Node.js plugin,0.03
Notebooks,0.17
Notification,0.87
Notifications,0.89
OSGI,0.15
OnDemand,0.35
Onboarding,0.3
OpenID,0.26
OpenID Connect,0.16
Outline,0.44
PHP,0.15
POJO,0.09
Packaging,0.31
Parsing,0.09
Performance,0.44
Performance Testing,0.08
Plan Branches,0.22
Plan configuration,0.55
Planning,0.4
Plugins,0.09
Policy,0.55
Portability,0.37
Preferences,0.46
Preview,0.24
Privacy,0.13
Project,0.47
Project - Actions,0.2
Project - Agile Boards,0.13
Project - Core Boards,0.13
Project - Issues,0.37
Project - Releases,0.1
Project Administration - Components,0.39
"Project Administration - Issue type, fields and Other",0.35
Project Administration - Others,0.36
Project Administration - People and Roles,0.53
Project Administration - Permissions,0.16
Project Administration - Project Summary,0.09
Project Administration - Project Trash and Archive,0.04
Project Administration - Project create and delete,0.2
Project Administration - Users and Roles,0.51
Project Administration - Versions,0.32
Project Administration - Workflows and statuses,0.53
Project Explorer,0.25
